G4	0.67	0.7	0.68	0.7	0.71	0.71	0.71	0.72	0.72	0.71	0.72	0.72	0.72	0.72	0.73	0.71	0.72	0.73	0.73	0.74	0.74	0.77	0.79	0.85	0.96	1.14	1.51	2.18	3.36	5.38	8.43	12.59	17.11	21.12	24.16	26.48	28.32	29.69	30.84	31.6	32.37	32.87	33.37	33.74	33.99	34.28	34.44	34.7	34.81	34.95
H4	0.64	0.66	0.66	0.66	0.67	0.67	0.67	0.69	0.68	0.68	0.68	0.68	0.68	0.68	0.67	0.69	0.7	0.7	0.7	0.71	0.7	0.72	0.77	0.83	0.96	1.19	1.62	2.39	3.74	5.92	9.04	12.81	16.36	19.22	21.46	23.16	24.47	25.55	26.37	27.02	27.55	28.05	28.37	28.73	28.94	29.16	29.33	29.48	29.64	29.75
G5	0.53	0.54	0.56	0.56	0.56	0.56	0.56	0.57	0.57	0.58	0.57	0.58	0.57	0.58	0.58	0.57	0.59	0.59	0.59	0.61	0.62	0.65	0.71	0.79	0.98	1.32	1.93	2.99	4.76	7.33	10.42	13.43	15.84	17.7	19.14	20.29	21.11	21.8	22.4	22.8	23.15	23.47	23.73	23.94	24.13	24.29	24.44	24.57	24.67	24.76
H5	0.72	0.73	0.74	0.75	0.76	0.75	0.76	0.77	0.76	0.77	0.78	0.78	0.78	0.77	0.78	0.79	0.79	0.79	0.79	0.8	0.84	0.86	0.95	1.05	1.3	1.7	2.48	3.86	6.09	9.44	13.66	17.8	21.27	23.96	26.07	27.7	29	30.03	30.84	31.5	32.07	32.59	32.98	33.33	33.64	33.95	34.15	34.41	34.59	34.81
G6	0.74	0.76	0.76	0.77	0.78	0.78	0.77	0.78	0.77	0.79	0.77	0.78	0.78	0.78	0.78	0.78	0.79	0.79	0.79	0.8	0.82	0.85	0.9	1.02	1.21	1.56	2.23	3.4	5.35	8.22	11.9	15.58	18.66	21.05	22.9	24.27	25.41	26.27	26.89	27.43	27.85	28.21	28.52	28.79	28.98	29.13	29.28	29.4	29.55	29.57
H6	0.49	0.51	0.51	0.52	0.51	0.52	0.51	0.53	0.53	0.53	0.54	0.53	0.53	0.54	0.53	0.54	0.55	0.56	0.55	0.56	0.58	0.61	0.66	0.74	0.92	1.23	1.78	2.77	4.38	6.77	9.62	12.34	14.6	16.38	17.7	18.84	19.66	20.29	20.9	21.31	21.74	22.04	22.33	22.58	22.79	22.98	23.19	23.31	23.45	23.59
I1	0.53	0.55	0.54	0.54	0.55	0.55	0.56	0.55	0.56	0.55	0.54	0.56	0.56	0.56	0.56	0.56	0.57	0.56	0.58	0.61	0.63	0.72	0.85	1.14	1.65	2.63	4.35	7	10.5	14.22	17.17	19.08	20.38	21.2	21.83	22.23	22.56	22.83	23.06	23.28	23.34	23.48	23.56	23.68	23.64	23.76	23.77	23.81	23.8	23.86
J1	0.61	0.63	0.63	0.63	0.63	0.63	0.63	0.64	0.63	0.64	0.64	0.64	0.63	0.65	0.63	0.65	0.65	0.65	0.66	0.69	0.71	0.75	0.86	1.05	1.41	2.09	3.33	5.36	8.23	11.55	14.53	16.6	17.98	18.96	19.69	20.21	20.6	20.89	21.17	21.37	21.53	21.68	21.8	21.85	22	22.01	22.06	22.15	22.19	22.17
I2	0.62	0.65	0.65	0.65	0.64	0.65	0.65	0.67	0.68	0.66	0.67	0.68	0.67	0.67	0.68	0.68	0.68	0.69	0.67	0.69	0.7	0.72	0.75	0.8	0.92	1.15	1.57	2.37	3.8	6.21	9.82	14.19	18.45	21.64	23.76	25.29	26.3	27.09	27.76	28.17	28.45	28.79	29.02	29.21	29.32	29.44	29.57	29.68	29.79	29.8
J2	0.67	0.67	0.67	0.68	0.69	0.69	0.68	0.69	0.71	0.69	0.69	0.7	0.7	0.71	0.7	0.71	0.71	0.72	0.73	0.72	0.73	0.77	0.81	0.89	1.06	1.38	2	3.09	4.99	7.99	11.92	16.06	19.46	21.83	23.45	24.64	25.46	26.17	26.64	27.05	27.35	27.62	27.82	28.04	28.15	28.24	28.38	28.4	28.55	28.61
I3	0.57	0.59	0.58	0.59	0.6	0.61	0.62	0.69	0.71	0.7	0.71	0.7	0.7	0.71	0.71	0.71	0.73	0.72	0.73	0.74	0.79	0.84	0.95	1.18	1.59	2.41	3.89	6.45	10.2	14.91	19.39	22.69	24.81	26.14	27.13	27.76	28.23	28.75	29.01	29.23	29.43	29.57	29.72	29.81	29.9	29.98	29.98	30.02	30.01	30.15
J3	0.48	0.51	0.51	0.5	0.5	0.52	0.52	0.52	0.52	0.53	0.53	0.52	0.53	0.53	0.54	0.55	0.54	0.55	0.55	0.57	0.59	0.64	0.73	0.9	1.25	1.9	3.08	5.13	8.14	11.88	15.44	18.09	19.74	20.85	21.69	22.23	22.71	23.06	23.36	23.58	23.75	23.98	24.14	24.24	24.38	24.48	24.57	24.6	24.68	24.77
